Id;Identificador;Empaquetado;Cantidad;Identificación;Suministrador y ref
9;C1,C6,C7,C8,C9,C12,C13,C18,C20,C23,C24;C_0603;11;100nF;
13;C10;CP_Elec_6.3x7.7;1;100uF;
14;C11;CP_Elec_6.3x5.8;1;33uF;
15;C15;C_0603;1;4.7uF;
16;C16;C_0603;1;10uF;
17;C17,C22;C_0805;2;22uF;
18;C19;C_0805;1;2.2nF;
10;C2;C_0603;1;10nF;
19;C21;C_0603;1;220nF;
11;C3,C4;C_0603;2;12.5pF;
12;C5;C_0603;1;1uF;
20;D1;D_SOD-123;1;1N5819HW;
21;D2,D3;LED_0805;2;LED_ALT;
22;D4;D_SOD-123;1;D_Zener_ALT;
23;FB1;L_0603;1;FILTER;
1;G***;LOGO;1;LOGO;
24;J1;SMA-SMD;1;SMA_CONN;
25;J2;Socket_Strip_Straight_2x20_Pitch2.54mm;1;RPI_HEADER;
26;JP1;SMD-JUMPER;1;Jumper_NC_Dual;
47;L1;IND_6,20X5,25;1;220uH;
27;L2;IND-6.5mm;1;3.3uH;
28;P1;CONN-5mm;1;CONN_01X02;
29;P4;CONN-MOT-5;1;CONN_01X05;
8;P5,P2;Pin_Header_Straight_1x05_Pitch2.54mm;2;CONN_01X05;
6;P6,P3;Pin_Header_Straight_1x03_Pitch2.54mm;2;CONN_01X03;
30;P7;Socket_Strip_Straight_2x07_Pitch2.54mm;1;Conn_02x07_Odd_Even;
31;P8;Pin_Header_Straight_2x02_Pitch2.54mm;1;Conn_02x02_Odd_Even;
4;P9;2xRJ11;1;RJ11x2;
32;Q1,Q2,Q3,Q4;SOT-23;4;MMBT3904;
33;R1,R7;R_0603;2;1M;
38;R13,R16,R19;R_0603;3;330;
39;R15;R_0603;1;8.25K;
40;R17;R_0603;1;24.9K;
34;R2,R9,R10,R11,R22,R23;R_0603;6;10K;
35;R3,R6,R12,R14,R20,R21;R_0603;6;100K;
36;R4,R5,R18;R_0603;3;4.75K;
37;R8;R_0603;1;255K;
2;REF**,REF**;Fiducial_0.5mm_Dia_1mm_Outer;2;Fiducial_0.5mm_Dia_1mm_Outer;
3;REF**,REF**,REF**,REF**;MountingHole_2.7mm_M2.5;4;MountingHole_M2.5;
41;U1;SOIC-8-N;1;MAX5033;
42;U2;SX1276;1;SX1276;
43;U3;LQFP-64_10x10mm_Pitch0.5mm;1;STM32L162RDT6;
5;U5;SOIC-16_3.9x9.9mm_Pitch1.27mm;1;ULN2003A;
7;U6;LGA-12_2x2mm_Pitch0.5mm;1;LIS2MDL;
44;U7;SOIC-8-N;1;NCP3170B;
45;U8;Pin_Header_Straight_1x08_Pitch2.54mm;1;Lepton3;
48;U9;SW_SPST_EVPBF;1;switch;
46;Y1;Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal;1;32.768KHz;
